"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"NTRK2",0.758,0.666613274322997,0.516,0.666613274322996,0.952,0.665,"0","NTRK2","0"
"ZNF460",0.758,0.258463039262617,0.516,0.258463039262617,0.843,0.581,"0","ZNF460","0"
"MMP2",0.757,0.951578390762599,0.514,0.9515783907626,0.903,0.632,"0","MMP2","0"
"FBLN5",0.757,0.754593982503507,0.514,0.754593982503507,0.822,0.593,"0","FBLN5","0"
"CD34",0.757,0.327171240854182,0.514,0.327171240854182,0.787,0.385,"0","CD34","0"
"IGFBP4",0.753,0.911107878407,0.506,0.911107878407,0.983,0.864,"0","IGFBP4","0"
"HEG1",0.752,0.42786987177973,0.504,0.42786987177973,0.919,0.642,"0","HEG1","0"
"SLC39A6",0.752,0.354540008980069,0.504,0.354540008980069,0.879,0.516,"0","SLC39A6","0"
"CERCAM",0.75,0.849561867687455,0.5,0.849561867687456,0.876,0.671,"0","CERCAM","0"
"GAA",0.75,0.425162004926434,0.5,0.425162004926434,0.748,0.367,"0","GAA","0"
"PLAGL1",0.746,0.510062811572894,0.492,0.510062811572893,0.914,0.609,"0","PLAGL1","0"
"FRMD6",0.745,0.687359185460868,0.49,0.687359185460868,0.894,0.665,"0","FRMD6","0"
"THY1",0.744,0.791720389189256,0.488,0.791720389189259,0.887,0.663,"0","THY1","0"
"OGN",0.743,0.842812874615462,0.486,0.842812874615462,0.846,0.723,"0","OGN","0"
"DEPTOR",0.743,0.315990756163145,0.486,0.315990756163145,0.694,0.232,"0","DEPTOR","0"
"TNFSF14",0.739,0.462755389817119,0.478,0.462755389817119,0.89,0.694,"0","TNFSF14","0"
"PCOLCE",0.738,0.981393271585114,0.476,0.981393271585114,0.929,0.688,"0","PCOLCE","0"
"SPARC",0.738,0.980570740553305,0.476,0.980570740553302,0.976,0.906,"0","SPARC","0"
"BOC",0.738,0.466373665189967,0.476,0.466373665189967,0.786,0.505,"0","BOC","0"
"CNPY3",0.738,0.343436150163266,0.476,0.343436150163266,0.821,0.464,"0","CNPY3","0"
"TCAF1",0.737,0.301685914284876,0.474,0.301685914284876,0.921,0.638,"0","TCAF1","0"
"HIVEP3",0.737,0.295426934530974,0.474,0.295426934530974,0.894,0.714,"0","HIVEP3","0"
"TMEM214",0.736,0.311003802123983,0.472,0.311003802123985,0.916,0.731,"0","TMEM214","0"
"GTF3C1",0.735,0.35407929477105,0.47,0.35407929477105,0.908,0.609,"0","GTF3C1","0"
"NFYB",0.735,0.339457723654364,0.47,0.339457723654364,0.87,0.57,"0","NFYB","0"
"BACE2",0.735,0.336059060713506,0.47,0.336059060713506,0.846,0.537,"0","BACE2","0"
"CD248",0.732,0.512647106561467,0.464,0.512647106561468,0.881,0.552,"0","CD248","0"
"MRC2",0.73,0.918908339296436,0.46,0.918908339296438,0.832,0.689,"0","MRC2","0"
"AC016831.1",0.73,0.414150918292276,0.46,0.414150918292275,0.841,0.478,"0","AC016831.1","0"
"P4HA3",0.73,0.317682657867623,0.46,0.317682657867623,0.705,0.323,"0","P4HA3","0"
"ZNF704",0.73,0.311647245768762,0.46,0.311647245768762,0.835,0.508,"0","ZNF704","0"
"PRICKLE2",0.728,0.286389127133658,0.456,0.286389127133658,0.754,0.482,"0","PRICKLE2","0"
"JDP2",0.728,0.275723381872903,0.456,0.275723381872902,0.86,0.484,"0","JDP2","0"
"ST3GAL4",0.727,0.380907407171958,0.454,0.380907407171957,0.794,0.483,"0","ST3GAL4","0"
"COL6A1",0.725,0.793173411069804,0.45,0.793173411069804,0.908,0.843,"0","COL6A1","0"
"FKBP9",0.725,0.392216098452755,0.45,0.392216098452754,0.849,0.529,"0","FKBP9","0"
"ADAMTSL3",0.725,0.271843480120394,0.45,0.271843480120394,0.697,0.383,"0","ADAMTSL3","0"
"CTSK",0.719,0.853794492328095,0.438,0.853794492328095,0.808,0.629,"0","CTSK","0"
"CASC4",0.719,0.393759000298906,0.438,0.393759000298906,0.903,0.611,"0","CASC4","0"
"TIMP1",0.718,0.95877080686032,0.436,0.958770806860319,0.992,0.928,"0","TIMP1","0"
"MAN1A1",0.718,0.56951538957986,0.436,0.569515389579859,0.795,0.5,"0","MAN1A1","0"
"TGFB3",0.717,0.286846125678969,0.434,0.286846125678968,0.89,0.696,"0","TGFB3","0"
"SELENOP",0.716,0.714306529570494,0.432,0.714306529570494,0.895,0.67,"0","SELENOP","0"
"CFB",0.715,0.34352575483537,0.43,0.34352575483537,0.778,0.523,"0","CFB","0"
"ITSN1",0.713,0.286910240678326,0.426,0.286910240678326,0.816,0.469,"0","ITSN1","0"
"PBX1",0.712,0.501835892678773,0.424,0.501835892678774,0.906,0.714,"0","PBX1","0"
"ITGB5",0.712,0.320332333677017,0.424,0.320332333677017,0.902,0.633,"0","ITGB5","0"
"FGFR1",0.71,0.688816169226625,0.42,0.688816169226625,0.94,0.742,"0","FGFR1","0"
"SMARCA2",0.71,0.445836950282255,0.42,0.445836950282256,0.873,0.542,"0","SMARCA2","0"
"ZDBF2",0.71,0.306858514027344,0.42,0.306858514027344,0.741,0.47,"0","ZDBF2","0"
"FKBP10",0.706,0.582333298516164,0.412,0.582333298516164,0.879,0.635,"0","FKBP10","0"
"FGF7",0.705,0.499638500223368,0.41,0.499638500223369,0.838,0.658,"0","FGF7","0"
"GFPT2",0.705,0.498131934374826,0.41,0.498131934374827,0.621,0.256,"0","GFPT2","0"
"MFSD1",0.705,0.270674076284769,0.41,0.270674076284769,0.794,0.543,"0","MFSD1","0"
