"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"OPTN",0.736,0.43487723318981,0.472,0.434877233189807,0.988,0.814,"7","OPTN","7"
"RTL8A1",0.736,0.369575712911732,0.472,0.369575712911732,0.806,0.468,"7","RTL8A","7"
"SIN3A",0.736,0.281094342081386,0.472,0.281094342081387,0.947,0.806,"7","SIN3A","7"
"CXCL16",0.735,0.374460975128556,0.47,0.374460975128556,0.865,0.547,"7","CXCL16","7"
"PPDPF",0.734,0.559013608949442,0.468,0.559013608949442,0.906,0.754,"7","PPDPF","7"
"OXLD12",0.733,0.271782956021387,0.466,0.271782956021387,0.794,0.559,"7","OXLD1","7"
"SYNGR21",0.732,0.56538728756837,0.464,0.56538728756837,0.924,0.657,"7","SYNGR2","7"
"MAPKAP1",0.732,0.253933866716247,0.464,0.253933866716247,0.982,0.626,"7","MAPKAP1","7"
"LAMTOR2",0.731,0.440950725138906,0.462,0.440950725138905,0.735,0.362,"7","LAMTOR2","7"
"RRAGA",0.731,0.36344090358637,0.462,0.363440903586371,0.918,0.913,"7","RRAGA","7"
"DHRS4",0.731,0.29386595420259,0.462,0.29386595420259,0.953,0.822,"7","DHRS4","7"
"SNRNP351",0.73,0.442547803649107,0.46,0.442547803649107,0.912,0.922,"7","SNRNP35","7"
"IFT43",0.73,0.258231209657507,0.46,0.258231209657508,0.788,0.381,"7","IFT43","7"
"MGLL",0.729,0.659780792907968,0.458,0.659780792907968,0.912,0.647,"7","MGLL","7"
"ARHGAP5",0.729,0.536081819767355,0.458,0.536081819767357,0.894,0.609,"7","ARHGAP5","7"
"CU638689.4",0.728,0.276878732063463,0.456,0.276878732063463,0.871,0.581,"7","CU638689.4","7"
"EXOC7",0.727,0.325532493684067,0.454,0.325532493684067,0.935,0.773,"7","EXOC7","7"
"NUDT15",0.727,0.323471939166306,0.454,0.323471939166306,0.929,0.76,"7","NUDT15","7"
"ABL2",0.726,0.412675653315374,0.452,0.412675653315375,0.924,0.922,"7","ABL2","7"
"ATP5PB",0.725,0.409182776130037,0.45,0.409182776130037,0.982,0.636,"7","ATP5PB","7"
"CD58",0.724,0.305319442857448,0.448,0.305319442857447,0.994,0.806,"7","CD58","7"
"BDP12",0.723,0.644112303164744,0.446,0.644112303164742,0.976,0.964,"7","BDP1","7"
"TGFB2",0.722,0.618714179032683,0.444,0.618714179032684,0.671,0.353,"7","TGFB2","7"
"PTPN12",0.722,0.592814152102905,0.444,0.592814152102904,0.947,0.821,"7","PTPN12","7"
"MAN2A2",0.722,0.269563528189948,0.444,0.269563528189948,0.9,0.615,"7","MAN2A2","7"
"HMGN3",0.721,0.461987117700748,0.442,0.461987117700749,0.918,0.546,"7","HMGN3","7"
"FAM204A",0.721,0.30219559900351,0.442,0.302195599003512,0.976,0.948,"7","FAM204A","7"
"KIF13B",0.72,0.486259272718043,0.44,0.486259272718043,0.918,0.788,"7","KIF13B","7"
"MAML22",0.719,0.503161068074237,0.438,0.503161068074236,0.918,0.713,"7","MAML2","7"
"NUFIP21",0.719,0.489044779998361,0.438,0.489044779998361,0.994,0.966,"7","NUFIP2","7"
"TMX42",0.719,0.370713399180159,0.438,0.370713399180162,0.982,0.93,"7","TMX4","7"
"MYO5C",0.719,0.346794808054699,0.438,0.346794808054699,0.888,0.675,"7","MYO5C","7"
"ARFGEF1",0.719,0.331766731326449,0.438,0.331766731326449,0.976,0.677,"7","ARFGEF1","7"
"NINJ1",0.718,0.36467109792155,0.436,0.36467109792155,0.988,0.965,"7","NINJ1","7"
"STX16",0.718,0.292503061231877,0.436,0.292503061231877,0.818,0.515,"7","STX16","7"
"SLIRP",0.717,0.726086687448211,0.434,0.726086687448212,0.906,0.861,"7","SLIRP","7"
"RAB10",0.717,0.524834306861901,0.434,0.524834306861899,0.882,0.733,"7","RAB10","7"
"ARPC4",0.717,0.479744640381778,0.434,0.479744640381778,0.841,0.688,"7","ARPC4","7"
"TM2D2",0.717,0.405973889626662,0.434,0.405973889626661,0.771,0.498,"7","TM2D2","7"
"DUS1L",0.717,0.375102227070495,0.434,0.375102227070494,0.871,0.645,"7","DUS1L","7"
"NOXO1",0.717,0.331475792223572,0.434,0.331475792223572,0.824,0.611,"7","NOXO1","7"
"GATAD2A",0.716,0.545392748278693,0.432,0.545392748278693,0.865,0.648,"7","GATAD2A","7"
"SNX5",0.715,0.398739786555597,0.43,0.398739786555597,0.929,0.488,"7","SNX5","7"
"MPRIP",0.714,0.331192488222474,0.428,0.331192488222473,0.876,0.621,"7","MPRIP","7"
