"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"CADPS",0.733,0.774886063686817,0.466,0.774886063686818,0.909,0.71,"3","CADPS","3"
"MFSD8",0.73,0.255085898314731,0.46,0.255085898314731,0.83,0.692,"3","MFSD8","3"
"ZNF160",0.729,0.280671294063135,0.458,0.280671294063134,0.716,0.43,"3","ZNF160","3"
"TMC8",0.728,0.383448283888819,0.456,0.383448283888819,0.864,0.718,"3","TMC8","3"
"ALOX5",0.727,0.632414338821831,0.454,0.632414338821831,0.875,0.555,"3","ALOX5","3"
"UNC13D",0.727,0.501661981423333,0.454,0.501661981423333,0.727,0.343,"3","UNC13D","3"
"MRE11",0.722,0.314494209135171,0.444,0.314494209135171,0.602,0.268,"3","MRE11","3"
"CYB561D2",0.721,0.285973886568908,0.442,0.285973886568908,0.83,0.628,"3","CYB561D2","3"
"CD69",0.72,1.05926643460058,0.44,1.05926643460058,0.909,0.838,"3","CD69","3"
"XRN1",0.719,0.251928790859609,0.438,0.25192879085961,0.898,0.793,"3","XRN1","3"
"PYCARD",0.718,0.45858099876992,0.436,0.45858099876992,0.807,0.463,"3","PYCARD","3"
"RSRP1",0.716,0.744341530277241,0.432,0.744341530277241,0.909,0.796,"3","RSRP1","3"
"NKTR",0.715,0.702261498297708,0.43,0.702261498297708,0.909,0.753,"3","NKTR","3"
"EP400",0.714,0.269637471457585,0.428,0.269637471457585,0.841,0.744,"3","EP400","3"
"TECR",0.713,0.362367838391643,0.426,0.362367838391642,0.875,0.645,"3","TECR","3"
"HIST1H2AC",0.711,0.462601418650158,0.422,0.462601418650158,0.864,0.804,"3","HIST1H2AC","3"
"KIAA1549",0.709,0.335082207033584,0.418,0.335082207033584,0.75,0.48,"3","KIAA1549","3"
"MRS2",0.709,0.303997515035713,0.418,0.303997515035713,0.795,0.727,"3","MRS2","3"
